AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation under 5 meters,339.288693988,653.201721535,992.490415523,15.6940109227,1101.54923914,1117.24325006
Tajikistan,Asia,Central Asia,Low income,IDA,Elevation over 5000 meters,0.0275109605864,807.943513923,807.971024884,1.36385065317,5660.0984554,5661.46230605
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 400 and 800 meters,606.033122033,113587.901523,114193.934645,134.169524968,27755.9633436,27890.1328686
Guinea,Africa,Western Africa,Low income,IDA,Elevation under 5 meters,2184.50021401,24766.1253695,26950.6255836,57.2910273313,3056.28841138,3113.57943871
Rwanda,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,244915.590557,1828115.05793,2073030.64849,1008.43417424,14477.3350396,15485.7692139
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 10 and 25 meters,16992.9765634,52127.6778124,69120.6543757,342.717469799,20281.8679078,20624.5853776
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,12.1077868342,10630.9674689,10643.0752558,7.62053585052,8932.74806005,8940.3685959
Sierra Leone,Africa,Western Africa,Low income,IDA,Elevation between 100 and 200 meters,12261.6990978,15444.9241332,27706.623231,127.863067865,10477.0461675,10604.9092354
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 100 and 200 meters,131526.705088,3494709.22189,3626235.92698,361.03645062,13002.4161571,13363.4526077
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 50 and 100 meters,58854.7072721,143841.424838,202696.13211,1211.00836977,5992.1935525,7203.20192228
Gambia,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,414330.143266,483794.287907,898124.431173,238.677561992,3013.04385037,3251.72141236
Gambia,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,6078.40028343,7274.1322125,13352.5324959,238.677561992,3013.04385037,3251.72141236
Guinea-Bissau,Africa,Western Africa,Low income,IDA,Elevation between 25 and 50 meters,845.588853225,4924.52502972,5770.11388294,45.3810417056,8212.43576739,8257.81680909
Benin,Africa,Western Africa,Low income,IDA,Elevation between 25 and 50 meters,72197.8999405,308564.194571,380762.094511,204.286515832,2488.62717658,2692.91369241
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 800 and 1500 meters,101458.644096,206809.761849,308268.405945,461.006649435,26164.7325248,26625.7391743
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,147150.227431,4827063.81314,4974214.04057,486.764048994,228988.391099,229475.155148
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,39720.4389371,469406.878449,509127.317386,701.658805978,106871.369586,107573.028392
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation under 5 meters,7.63673427427,356.506641968,364.143376243,1.93466761625,602.569000849,604.503668465
Guinea-Bissau,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,40394.5501181,73233.8045697,113628.354688,93.1015746925,7383.76865258,7476.87022727
Togo,Africa,Western Africa,Low income,IDA,Elevation between 800 and 1500 meters,33.99584198,8309.57681656,8343.57265854,0.853621900082,209.944657266,210.798279166
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 800 and 1500 meters,197269.625476,473371.762485,670641.387961,489.449036896,17554.5769803,18044.0260172
Tajikistan,Asia,Central Asia,Low income,IDA,Elevation between 800 and 1500 meters,173160.991691,614400.191686,787561.183378,985.045859396,15082.1231673,16067.1690267
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 5 and 10 meters,4927.08289775,4851.18629819,9778.26919594,64.8994071772,2308.72741023,2373.6268174
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,150921.713945,1943220.36124,2094142.07518,2638.71054243,517893.431142,520532.141684
